episode_id_dataset,scene,object_category,object_name,instruction_text,num_view_points,start_position,goal_position
1,00853-5cdEh9F2hJL,bed,bed_520,"king size bed located near the chest drawer, painting, curtain, and pillow.",56,"[11.00888, 0.03566, -5.51595]","[6.6092, 0.66506, -5.6011]"
2,00853-5cdEh9F2hJL,bathtub,bathtub_42,"bathtub, which is a jacuzzi tub. it is located near the mirror, to the left of the painting, and below the flower vase.",18,"[11.00888, 0.03566, -5.51595]","[-5.41715, 0.08367, 5.32645]"
3,00853-5cdEh9F2hJL,box,box_477,white box with blue walls located near the cabinet in the region.,16,"[3.17368, 0.0184, 1.10613]","[0.51867, 0.98525, -3.68593]"
4,00853-5cdEh9F2hJL,oven and stove,oven and stove_306,"oven and stove, which are located in the kitchen area. the oven and stove are made of stainless steel. look for them in the vicinity of the kitchen cabinet and kitchen counter.",33,"[5.41271, 0.0184, -4.17127]","[10.08867, 0.61213, 0.64997]"
5,00853-5cdEh9F2hJL,washing machine,washing machine_417,washing machine stacked on top of the dryer.,22,"[3.17368, 0.0184, 1.10613]","[4.38331, 0.49724, -1.17357]"
6,00827-BAbdmeyTvMZ,washer-dryer,washer-dryer_14,stacked washer-dryer located below the cabinet and to the right of the bathtub.,12,"[-3.54994, 0.04521, 4.69532]","[6.47822, 0.68008, 6.66822]"
7,00827-BAbdmeyTvMZ,stove,stove_345,gas stove in the kitchen. it is located on the kitchen counter near the kitchen island.,20,"[0.70889, 0.04521, 0.34109]","[0.98823, 0.37911, 5.82821]"
8,00827-BAbdmeyTvMZ,washer-dryer,washer-dryer_13,washer-dryer located near the cabinet and bathtub. the washer-dryer consists of an lg front-loading washer and an lg front-loading dryer.,11,"[-3.54994, 0.04521, 4.69532]","[6.39475, 0.61175, 7.4382]"
9,00827-BAbdmeyTvMZ,cabinet,cabinet_323,cabinet located on the kitchen counter and adjacent to the shelving and drawer. the cabinet is white in appearance.,42,"[1.16636, 0.04276, 3.76619]","[-1.81771, 1.80097, 5.45502]"
10,00827-BAbdmeyTvMZ,table,table_97,"table with a lamp on it. the table is located near the bed, pillow, and picture.",31,"[0.27801, 0.01789, 4.09796]","[-4.25687, 0.3812, 5.52443]"
11,00824-Dd4bFSTQ8gi,cabinet,cabinet_183,white cabinet with a window in it. it is located next to the refrigerator cabinet.,11,"[8.96712, 0.01882, 7.23162]","[-0.88727, 1.22513, -2.4017]"
12,00824-Dd4bFSTQ8gi,oven,oven_233,double convection oven in the kitchen. the oven is located below the kitchen counter and to the right of the kitchen cabinet.,27,"[-0.56351, 0.01882, 5.14748]","[4.24273, 1.0688, -0.89584]"
13,00824-Dd4bFSTQ8gi,rack,rack_286,"wooden rack located next to the painting, between the table and the carpet.",16,"[7.71933, 0.04044, -1.04714]","[1.5759, 0.90882, 5.50583]"
14,00824-Dd4bFSTQ8gi,kitchen lower cabinet,kitchen lower cabinet_197,"kitchen lower cabinet, a white cabinet with a glass door. referencing other objects in the scene, locate the cabinet below the kitchen cabinet, to the right of the refrigerator cabinet, and to the left of the bench.",31,"[5.81904, -0.06987, -1.88282]","[0.85273, 0.47856, -2.72075]"
15,00824-Dd4bFSTQ8gi,bathroom cabinet,bathroom cabinet_384,bathroom cabinet. it is located near the sink. it is also next to the mirror. look for a white bathroom cabinet with a mirror on it.,15,"[-0.56351, 0.01882, 5.14748]","[-3.18727, 0.42711, 2.90344]"
16,00894-HY1NcmCgn3n,cloth,cloth_252,"cloth, a christian robe, located to the right of the lighting fixture and below the picture.",48,"[6.1929, 0.01218, 2.43481]","[8.31356, 0.71106, -1.58276]"
17,00894-HY1NcmCgn3n,cloth,cloth_307,"the cloth that is embroidered with gold and silver threads, which is located near the arch.",31,"[9.49834, 0.02922, 3.79665]","[5.3196, 0.88984, -6.79536]"
18,00894-HY1NcmCgn3n,cloth,cloth_51,"black and gold cloth located near the lighting fixture, below the arch, and close to the figure.",126,"[6.1929, 0.01218, 2.43481]","[25.0666, 0.86167, 0.24109]"
19,00894-HY1NcmCgn3n,cloth,cloth_251,the red and gold cloth located below the arch and to the right of the lighting fixture.,26,"[6.1929, 0.01218, 2.43481]","[7.97002, 0.70574, -1.19878]"
20,00894-HY1NcmCgn3n,cloth,cloth_207,red and yellow cloth located to the right of the picture.,34,"[6.1929, 0.01218, 2.43481]","[13.4971, 0.71431, -5.11239]"
21,00880-Nfvxx8J5NCo,table,table_36,coffee table located near the couch in the frame.,53,"[-8.76915, 0.03086, 0.04024]","[-10.75132, 0.26191, -2.20395]"
22,00880-Nfvxx8J5NCo,cabinet,cabinet_124,cabinet with a flat screen tv on top. the cabinet is located to the right of the tv.,48,"[-8.81067, 0.03086, 2.39753]","[-13.53877, 0.56431, 2.64805]"
23,00880-Nfvxx8J5NCo,tv,tv_31,the cabinet and locate the tv. the tv is a flat screen with a shattered screen.,23,"[-7.74962, 0.03086, 0.25674]","[-7.43083, 1.94846, -2.71062]"
24,00880-Nfvxx8J5NCo,tv,tv_125,flat screen tv that is located to the left of the cabinet.,36,"[-10.72494, 0.03086, 2.20112]","[-13.49503, 1.31853, 2.56068]"
25,00880-Nfvxx8J5NCo,table,table_47,"kitchen table. the table is located near the oven and stove, and is adjacent to the shelf. the microwave is positioned above the table. look for a rectangular surface in the kitchen area.",22,"[-7.74962, 0.03086, 0.25674]","[-8.1987, 0.87846, 3.11834]"
26,00829-QaLdnwvtxbs,fire extinguisher,fire extinguisher_10,fire extinguisher mounted on a wall next to a bed. the fire extinguisher is located above the bed table and within the boundaries of the bed.,14,"[3.3847, 0.03574, -2.13751]","[6.0809, 0.76217, -2.09806]"
27,00829-QaLdnwvtxbs,clothes,clothes_76,clothes that are dirty and soiled. they are located near the shelf and the cabinet.,9,"[-2.64312, 0.03574, -1.06844]","[6.0817, 0.87764, -4.41503]"
28,00829-QaLdnwvtxbs,table,table_175,wooden table with a large bowl on it. the table is located next to the kitchen cabinet on the left side.,113,"[3.5885, 0.03574, -3.23723]","[0.0504, 0.41144, 1.35546]"
29,00829-QaLdnwvtxbs,tv,tv_196,flat screen tv located near the tv stand and curtain.,28,"[3.5885, 0.03574, -3.23723]","[-6.29783, 1.13596, 1.24395]"
30,00829-QaLdnwvtxbs,cabinet,cabinet_51,the cabinet that has a mirror inside. the cabinet is located on the right side of the mirror.,10,"[3.3847, 0.03574, -2.13751]","[2.9374, 0.29471, -3.1064]"
31,00871-VBzV5z6i1WS,cabinet,cabinet_471,"the cabinet with a mirror on it, which is located next to the sink and clutter.",53,"[5.08637, 0.0428, -3.86379]","[2.87566, 0.48721, -7.35088]"
32,00871-VBzV5z6i1WS,towel,towel_119,"white towel near the clothes, curtain, and blanket.",11,"[5.08637, 0.0428, -3.86379]","[-6.39446, 1.39287, -0.55555]"
33,00871-VBzV5z6i1WS,bed,bed_727,queen-sized bed located near the dresser and the book. look for a bed that is positioned slightly below the dresser and to the right of the book.,13,"[-2.59549, 0.04654, -0.40328]","[7.74557, 0.56777, -9.67962]"
34,00871-VBzV5z6i1WS,bath towel,bath towel_634,"bath towel hanging on a hook in the bathroom, relative to the shower stall, shower glass, and shower bench.",5,"[5.08637, 0.0428, -3.86379]","[2.27941, 1.59826, -9.13734]"
35,00871-VBzV5z6i1WS,sofa chair,sofa chair_254,sofa chair near the table stand.,53,"[-5.50271, 0.04654, -0.65568]","[-3.41443, 0.42378, -1.12826]"
36,00876-mv2HUxq3B53,tv,tv_563,samsung smart tv located near the cabinet and mirror.,21,"[-9.09274, 0.05035, 14.24862]","[4.34915, 1.15814, 11.9563]"
37,00876-mv2HUxq3B53,sink cabinet,sink cabinet_289,"sink cabinet. it is located next to the mirror on the left side, between the flower vase on the right and the lamp slightly further towards the top.",38,"[-2.49723, 0.0054, 10.26332]","[3.35343, 0.62081, -2.21951]"
38,00876-mv2HUxq3B53,bathtub,bathtub_613,"bathtub, which is located next to the shower glass.",28,"[6.77291, 0.05035, 1.63076]","[-2.03579, 0.38067, 17.66373]"
39,00876-mv2HUxq3B53,cabinet,cabinet_562,the cabinet located next to the mirror. the cabinet serves as a dresser with a flat screen tv on top of it.,36,"[-2.49723, 0.0054, 10.26332]","[4.44996, 0.48448, 11.92404]"
40,00876-mv2HUxq3B53,bathtub,bathtub_310,"jacuzzi tub in relation to other objects in the scene. the bathtub is located next to the towel bar, which is positioned towards the right side of the frame.",28,"[1.88887, 0.05035, 3.50609]","[6.50739, 0.40282, -1.47449]"
41,00813-svBbv1Pavdk,desk,desk_21,desk with a wooden desk and a lamp on it.,29,"[2.43096, 0.02755, 0.13406]","[-0.58163, 0.37654, -2.70029]"
42,00813-svBbv1Pavdk,bathtub,bathtub_58,whirlpool tub located near the shower curtain and toilet.,8,"[6.03512, 0.02755, 1.27312]","[3.1431, 0.26334, -3.47114]"
43,00813-svBbv1Pavdk,washing machine,washing machine_220,"washing machine, a lg front loader washing machine, relative to the outlet.",16,"[2.96013, 0.02755, 0.40895]","[1.19007, 0.55096, 6.32967]"
44,00813-svBbv1Pavdk,cabinet,cabinet_288,cabinet that is located to the right of the plant and below the tv.,36,"[2.43096, 0.02755, 0.13406]","[7.89311, 0.14984, 3.68476]"
45,00813-svBbv1Pavdk,tv,tv_287,tv that is located above the cabinet and to the right of the basket.,22,"[6.03512, 0.02755, 1.27312]","[7.89641, 0.81608, 3.67615]"
46,00848-ziup5kvtCCR,cabinet,cabinet_180,cabinet that has a tv mounted on it.,33,"[3.16216, 0.02122, 5.53275]","[-4.76394, 0.73557, 5.15845]"
47,00848-ziup5kvtCCR,cabinet,cabinet_127,cabinet with a lamp on it. the cabinet is located below the lamp.,31,"[3.16216, 0.02122, 5.53275]","[5.12081, 0.48441, -0.82797]"
48,00848-ziup5kvtCCR,tv,tv_335,"tv that is mounted on the wall, located to the right of the chest of drawers, below the mirror, and slightly above the picture. use these objects as reference points to identify its position.",23,"[2.9082, 0.02122, 3.69514]","[-4.3555, 1.53037, -1.71815]"
49,00848-ziup5kvtCCR,cabinet,cabinet_130,white cabinet with a white washer and dryer. the cabinet is located towards the top right corner of the frame relative to the washer-dryer.,9,"[2.73885, 0.02122, -0.3644]","[6.92434, 1.80356, -0.51449]"
50,00848-ziup5kvtCCR,bed,bed_322,"queen-sized bed located near a curtain, pillow, and cushion.",38,"[2.9082, 0.02122, 3.69514]","[-6.75446, 0.39433, -2.08539]"
